alg,fid,problem,dim,fbest_mean,fbest_std,err_mean,err_std,nfe_mean,succ_rate
jSO,3,welded_beam,4,12486705.718620386,2.1875657868188005e-09,12486703.993768387,2.1875657868188005e-09,16061.0,0.0
jSO,4,gear_box,5,6415.27991745469,0.0,,,7981.366666666667,0.0
jSO,5,speed_reducer,7,2715.626910540027,1.1942250499462038e-13,278.37308945997296,1.1895509613653678e-13,25304.966666666667,0.0
jSO,6,car_side_impact,11,8902973.941673076,0.0,,,30465.166666666668,0.0
jSO,7,hydrostatic_thrust_bearing,4,0.00020465601375049006,0.0,,,16002.0,0.0
jSO,8,four_bar_truss,3,2.000000200000006,0.0,1.000000200000006,0.0,3188.9333333333334,0.0
jSO,9,ten_bar_truss,10,0.24970562733389545,4.934683802276455e-11,,,40069.96666666667,0.0
jSO,10,cantilever_cont,2,5.624980687516742e+22,0.0,,,1249.2,0.0
jSO,11,cantilever_disc,5,23307111111411.113,0.0,,,4883.466666666666,0.0
jSO,12,stepped_column,10,146292361.53839567,0.0,,,19648.166666666668,0.0
