alg,suite,fid,dim,run,fbest,err,nfe,hit,time_sec
SciPyDE,eng,8,3,1,2.0016387765080452,1.0016387765080452,2115,0,0.10397195816040039
LBFGSB,eng,8,3,1,2.000000200000006,1.000000200000006,8,0,0.0008866786956787109
PSO,eng,8,3,1,2.000000200000006,1.000000200000006,12020,0,0.9455280303955078
GWO,eng,8,3,1,2.000000200000006,1.000000200000006,12020,0,1.104278326034546
MealpyGA,eng,8,3,1,2.0409653504005716,1.0409653504005716,12020,0,1.6479296684265137
SSA,eng,8,3,1,2.0007100411401875,1.0007100411401875,22820,0,2.3073878288269043
NLSHADE-RSP,eng,8,3,2,2.000000200000006,1.000000200000006,12002,0,0.3321707248687744
LSHADE,eng,8,3,2,2.000000200000006,1.000000200000006,1305,0,0.03499293327331543
JADE,eng,8,3,2,2.000000200000006,1.000000200000006,2100,0,0.05680346488952637
jSO,eng,8,3,2,2.000000200000006,1.000000200000006,3074,0,0.08585953712463379
Spiral-LSHADE,eng,8,3,2,2.000000200000006,1.000000200000006,12005,0,0.9634513854980469
CMAES,eng,8,3,2,2.000000200000006,1.000000200000006,491,0,0.06545281410217285
SciPyDE,eng,8,3,2,2.007575064892478,1.0075750648924782,1710,0,0.08333206176757812
LBFGSB,eng,8,3,2,2.000000200000006,1.000000200000006,8,0,0.0010256767272949219
PSO,eng,8,3,2,2.000000200000006,1.000000200000006,12020,0,0.9525229930877686
GWO,eng,8,3,2,2.000000200000006,1.000000200000006,12020,0,1.0622262954711914
MealpyGA,eng,8,3,2,2.089629109514768,1.0896291095147679,12020,0,1.6589674949645996
SSA,eng,8,3,2,2.0019569359858083,1.0019569359858083,22820,0,2.3063297271728516
NLSHADE-RSP,eng,8,3,3,2.000000200000006,1.000000200000006,12002,0,0.32188916206359863
LSHADE,eng,8,3,3,2.000000200000006,1.000000200000006,1440,0,0.037371158599853516
JADE,eng,8,3,3,2.000000200000006,1.000000200000006,2160,0,0.05518794059753418
jSO,eng,8,3,3,2.000000200000006,1.000000200000006,3181,0,0.0865483283996582
Spiral-LSHADE,eng,8,3,3,2.000000200000006,1.000000200000006,12000,0,0.9249212741851807
CMAES,eng,8,3,3,2.000000200000006,1.000000200000006,477,0,0.0607450008392334
SciPyDE,eng,8,3,3,2.0044286779895186,1.0044286779895186,1755,0,0.08907771110534668
LBFGSB,eng,8,3,3,2.000000200000006,1.000000200000006,8,0,0.0009503364562988281
PSO,eng,8,3,3,2.000000200000006,1.000000200000006,12020,0,0.9639937877655029
GWO,eng,8,3,3,2.000000200000006,1.000000200000006,12020,0,1.1121759414672852
MealpyGA,eng,8,3,3,2.0368408557860542,1.0368408557860542,12020,0,1.5331568717956543
SSA,eng,8,3,3,2.0008167160039223,1.0008167160039223,22820,0,2.3165035247802734
NLSHADE-RSP,eng,8,3,4,2.000000200000006,1.000000200000006,12002,0,0.3307919502258301
LSHADE,eng,8,3,4,2.000000200000006,1.000000200000006,1260,0,0.03527522087097168
JADE,eng,8,3,4,2.000000200000006,1.000000200000006,2370,0,0.06499648094177246
jSO,eng,8,3,4,2.000000200000006,1.000000200000006,3146,0,0.10259795188903809
Spiral-LSHADE,eng,8,3,4,2.000000200000006,1.000000200000006,12000,0,0.9671533107757568
CMAES,eng,8,3,4,2.000000200000006,1.000000200000006,484,0,0.06499528884887695
SciPyDE,eng,8,3,4,2.0051518735422715,1.0051518735422715,1845,0,0.11800241470336914
LBFGSB,eng,8,3,4,2.000000200000006,1.000000200000006,8,0,0.0013933181762695312
PSO,eng,8,3,4,2.000000200000006,1.000000200000006,12020,0,0.9622759819030762
GWO,eng,8,3,4,2.000000200000006,1.000000200000006,12020,0,1.1264820098876953
MealpyGA,eng,8,3,4,2.1586793202418812,1.1586793202418812,12020,0,1.5989882946014404
SSA,eng,8,3,4,2.000000200000006,1.000000200000006,22820,0,2.393307685852051
NLSHADE-RSP,eng,8,3,5,2.000000200000006,1.000000200000006,12002,0,0.3441641330718994
LSHADE,eng,8,3,5,2.000000200000006,1.000000200000006,1335,0,0.03708958625793457
JADE,eng,8,3,5,2.000000200000006,1.000000200000006,2160,0,0.06038022041320801
jSO,eng,8,3,5,2.000000200000006,1.000000200000006,3216,0,0.09002423286437988
Spiral-LSHADE,eng,8,3,5,2.000000200000006,1.000000200000006,12002,0,0.886746883392334
CMAES,eng,8,3,5,2.000000200000006,1.000000200000006,442,0,0.05553865432739258
SciPyDE,eng,8,3,5,2.002939186893835,1.002939186893835,1710,0,0.06956338882446289
LBFGSB,eng,8,3,5,2.000000200000006,1.000000200000006,8,0,0.00098419189453125
PSO,eng,8,3,5,2.0000030432775113,1.0000030432775113,12020,0,0.9726719856262207
GWO,eng,8,3,5,2.000000200000006,1.000000200000006,12020,0,1.1062352657318115
MealpyGA,eng,8,3,5,2.120644938169864,1.120644938169864,12020,0,1.589071273803711
SSA,eng,8,3,5,2.000107432000824,1.0001074320008239,22820,0,2.277111291885376
NLSHADE-RSP,eng,8,3,6,2.000000200000006,1.000000200000006,12002,0,0.39561033248901367
LSHADE,eng,8,3,6,2.000000200000006,1.000000200000006,1320,0,0.03399014472961426
JADE,eng,8,3,6,2.000000200000006,1.000000200000006,2400,0,0.061110496520996094
jSO,eng,8,3,6,2.000000200000006,1.000000200000006,3181,0,0.09532499313354492
Spiral-LSHADE,eng,8,3,6,2.000000200000006,1.000000200000006,12000,0,0.9022884368896484
CMAES,eng,8,3,6,2.000000200000006,1.000000200000006,470,0,0.05734539031982422
SciPyDE,eng,8,3,6,2.0015435553472596,1.0015435553472596,2025,0,0.08656501770019531
LBFGSB,eng,8,3,6,2.000000200000006,1.000000200000006,8,0,0.0009224414825439453
PSO,eng,8,3,6,2.000000200000006,1.000000200000006,12020,0,0.986699104309082
GWO,eng,8,3,6,2.000000200000006,1.000000200000006,12020,0,1.165928840637207
MealpyGA,eng,8,3,6,2.0727878389163,1.0727878389163,12020,0,1.5988152027130127
SSA,eng,8,3,6,2.0017475340476856,1.0017475340476856,22820,0,2.227048635482788
NLSHADE-RSP,eng,8,3,7,2.000000200000006,1.000000200000006,12002,0,0.30449938774108887
LSHADE,eng,8,3,7,2.000000200000006,1.000000200000006,1335,0,0.034780025482177734
JADE,eng,8,3,7,2.000000200000006,1.000000200000006,2280,0,0.06872153282165527
jSO,eng,8,3,7,2.000000200000006,1.000000200000006,3251,0,0.08526158332824707
Spiral-LSHADE,eng,8,3,7,2.000000200000006,1.000000200000006,12000,0,0.9220607280731201
CMAES,eng,8,3,7,2.000000200000006,1.000000200000006,498,0,0.06098818778991699
SciPyDE,eng,8,3,7,2.0074502702185604,1.0074502702185604,2160,0,0.10639357566833496
LBFGSB,eng,8,3,7,2.000000200000006,1.000000200000006,8,0,0.0008156299591064453
PSO,eng,8,3,7,2.000000200000006,1.000000200000006,12020,0,0.9026284217834473
GWO,eng,8,3,7,2.000000200000006,1.000000200000006,12020,0,1.2216758728027344
MealpyGA,eng,8,3,7,2.154602126658017,1.154602126658017,12020,0,1.5780394077301025
SSA,eng,8,3,7,2.0007247708605695,1.0007247708605695,22820,0,2.2485547065734863
